0, 8, 505, 380, 87, 74, -1, 1, 0
0, 6, 1079, 241, 105, 55, -1, 7, 0
0, 12, 614, 265, 72, 68, -1, 1, 0
0, 1058, 606, 232, 62, 60, -1, 1, 0
0, 4, 676, 180, 42, 29, -1, 3, 0
0, 2, 793, 157, 46, 40, -1, 3, 0
0, 5, 1340, 742, 55, 59, -1, 1, 0
0, 1, 1374, 649, 43, 47, -1, 1, 0
0, 11, 1189, 235, 39, 32, -1, 8, 0
0, 13, 1339, 308, 20, 22, -1, 6, 0
0, 3, 462, 229, 70, 92, -1, 8, 0
0, 174, 1157, 212, 41, 32, -1, 3, 0
1, 1, 1377, 640, 45, 61, -1, 1, 0
1, 2, 794, 162, 45, 32, -1, 3, 0
1, 3, 460, 227, 78, 99, -1, 8, 0
1, 4, 678, 172, 40, 36, -1, 3, 0
1, 5, 1344, 743, 40, 53, -1, 1, 0
1, 6, 1064, 235, 113, 61, -1, 7, 0
1, 8, 547, 368, 81, 73, -1, 1, 0
1, 11, 1194, 235, 32, 29, -1, 8, 0
1, 12, 587, 263, 70, 72, -1, 1, 0
1, 1058, 582, 241, 58, 56, -1, 1, 0
1, 13, 1337, 308, 20, 22, -1, 6, 0
1, 174, 1157, 212, 41, 32, -1, 3, 0
2, 1, 1377, 640, 45, 61, -1, 1, 0
2, 2, 795, 162, 44, 32, -1, 3, 0
2, 3, 462, 227, 76, 95, -1, 8, 0
2, 4, 678, 172, 38, 36, -1, 3, 0
2, 5, 1345, 743, 39, 53, -1, 1, 0
2, 6, 1048, 235, 120, 58, -1, 7, 0
2, 8, 581, 352, 91, 81, -1, 1, 0
2, 11, 1193, 235, 33, 31, -1, 8, 0
2, 12, 562, 274, 65, 74, -1, 1, 0
2, 1058, 563, 251, 58, 56, -1, 1, 0
2, 13, 1336, 308, 21, 23, -1, 6, 0
2, 174, 1157, 212, 41, 32, -1, 3, 0
3, 1, 1377, 640, 45, 61, -1, 1, 0
3, 2, 794, 162, 44, 32, -1, 3, 0
3, 3, 463, 226, 75, 95, -1, 8, 0
3, 4, 678, 172, 38, 36, -1, 3, 0
3, 5, 1345, 743, 39, 53, -1, 1, 0
3, 6, 1033, 232, 124, 59, -1, 7, 0
3, 8, 630, 344, 86, 71, -1, 1, 0
3, 12, 540, 287, 60, 67, -1, 1, 0
3, 1058, 542, 258, 58, 60, -1, 1, 0
3, 11, 1191, 233, 42, 36, -1, 8, 0
3, 13, 1336, 308, 21, 23, -1, 6, 0
3, 174, 1157, 212, 41, 32, -1, 3, 0
4, 1, 1377, 640, 45, 61, -1, 1, 0
4, 2, 794, 162, 44, 32, -1, 3, 0
4, 3, 462, 227, 73, 98, -1, 8, 0
4, 4, 678, 172, 38, 36, -1, 3, 0
4, 5, 1346, 744, 38, 50, -1, 1, 0
4, 6, 1017, 230, 126, 59, -1, 7, 0
4, 8, 677, 332, 91, 78, -1, 1, 0
4, 11, 1192, 235, 34, 31, -1, 8, 0
4, 12, 518, 294, 56, 66, -1, 1, 0
4, 1058, 525, 271, 50, 53, -1, 1, 0
4, 13, 1335, 308, 22, 24, -1, 6, 0
4, 174, 1157, 212, 41, 32, -1, 3, 0
5, 1, 1377, 640, 45, 61, -1, 1, 0
5, 2, 795, 163, 43, 30, -1, 3, 0
5, 3, 462, 228, 73, 97, -1, 8, 0
5, 4, 678, 172, 38, 36, -1, 3, 0
