00000.png,8,505,380,87,74,1
00000.png,6,1079,241,105,55,7
00000.png,12,614,265,72,68,1
00000.png,1058,606,232,62,60,1
00000.png,4,676,180,42,29,3
00000.png,2,793,157,46,40,3
00000.png,5,1340,742,55,59,1
00000.png,1,1374,649,43,47,1
00000.png,11,1189,235,39,32,8
00000.png,13,1339,308,20,22,6
00000.png,3,462,229,70,92,8
00000.png,174,1157,212,41,32,3
00001.png,1,1377,640,45,61,1
00001.png,2,794,162,45,32,3
00001.png,3,460,227,78,99,8
00001.png,4,678,172,40,36,3
00001.png,5,1344,743,40,53,1
00001.png,6,1064,235,113,61,7
00001.png,8,547,368,81,73,1
00001.png,11,1194,235,32,29,8
00001.png,12,587,263,70,72,1
00001.png,1058,582,241,58,56,1
00001.png,13,1337,308,20,22,6
00001.png,174,1157,212,41,32,3
00002.png,1,1377,640,45,61,1
00002.png,2,795,162,44,32,3
00002.png,3,462,227,76,95,8
00002.png,4,678,172,38,36,3
00002.png,5,1345,743,39,53,1
00002.png,6,1048,235,120,58,7
00002.png,8,581,352,91,81,1
00002.png,11,1193,235,33,31,8
00002.png,12,562,274,65,74,1
00002.png,1058,563,251,58,56,1
00002.png,13,1336,308,21,23,6
00002.png,174,1157,212,41,32,3
00003.png,1,1377,640,45,61,1
00003.png,2,794,162,44,32,3
00003.png,3,463,226,75,95,8
00003.png,4,678,172,38,36,3
00003.png,5,1345,743,39,53,1
00003.png,6,1033,232,124,59,7
00003.png,8,630,344,86,71,1
00003.png,12,540,287,60,67,1
00003.png,1058,542,258,58,60,1
00003.png,11,1191,233,42,36,8
00003.png,13,1336,308,21,23,6
00003.png,174,1157,212,41,32,3
00004.png,1,1377,640,45,61,1
00004.png,2,794,162,44,32,3
00004.png,3,462,227,73,98,8
00004.png,4,678,172,38,36,3
00004.png,5,1346,744,38,50,1
00004.png,6,1017,230,126,59,7
00004.png,8,677,332,91,78,1
00004.png,11,1192,235,34,31,8
00004.png,12,518,294,56,66,1
00004.png,1058,525,271,50,53,1
00004.png,13,1335,308,22,24,6
00004.png,174,1157,212,41,32,3
00005.png,1,1377,640,45,61,1
00005.png,2,795,163,43,30,3
00005.png,3,462,228,73,97,8
00005.png,4,678,172,38,36,3
00005.png,5,1346,744,38,50,1
00005.png,6,999,225,131,63,7
00005.png,8,719,321,99,84,1
00005.png,11,1192,234,33,32,8
00005.png,12,498,308,51,60,1
00005.png,1058,504,276,47,56,1
00005.png,13,1333,308,22,24,6
00005.png,174,1157,212,41,32,3
00006.png,1,1377,639,44,61,1
00006.png,2,794,161,46,33,3
00006.png,3,461,225,81,101,8
00006.png,4,678,172,38,36,3
00006.png,5,1346,743,38,51,1
00006.png,6,979,223,139,61,7
00006.png,8,767,313,101,83,1
00006.png,11,1192,234,34,32,8
00006.png,12,480,308,48,64,1
00006.png,1058,486,281,47,56,1
00006.png,13,1332,308,22,24,6
00006.png,174,1157,212,41,32,3
00007.png,1,1376,638,47,63,1
